filename,spectral_centroid,spectral_rolloff,mfcc,chroma_stft
0,8000000000000000,8000000000000000,8ed2f2ace441cbc9,d0d0d0d8d8d96d6d
1,8000000000000000,8000000000000000,c0b38f4f4f40e5d4,d0d2d0d0d2f2333f
2,8000000000000000,8000000000000000,e5c36ebc1929643a,d0d0d0d2d2b73727
3,8000000000000000,8000000000000000,809186676e69fa9b,d2d0d1d1c9c9696d
4,8000000000000000,8000000000000000,88a1767c4e5bc393,d0d0d6c2c1c9db3b
5,8000000000000000,8000000000000000,88a3e66e6c5a9a93,d0d2d0c2c3e3333f
6,8000000000000000,8000000000000000,8897f47c484b4bcb,d0d0d0d0d3933b3f
7,8000000000000000,8000000000000000,8c15e37bd498c16b,d4d4f0d090bc3c3f
8,8000000000000000,8000000000000000,d8a3634f4f1394a5,d0d2d6d0d0d3b333
9,8000000000000000,8000000000000000,a8e4761fdce461b0,c4c8c9ccc4cd6737
10,8000000000000000,8000000000000000,8287662cd8bbf1e1,c0c0cfcfcd8f0f30
11,8000000000000000,8000000000000000,8887744c68bbb1b7,d0d4959f8f8e0e26
12,8000000000000000,8000000000000000,8b952c6c0edbe90d,d0d08e8f8f0e2d2f
13,8000000000000000,8000000000000000,9027c97b0eb1bc33,d0d0d0d1f1312f6f
14,8000000000000000,8000000000000000,e0d2d42e2d4da9cb,c2c0c9c9c9c74f67
15,8000000000000000,8000000000000000,808666785b5fc55d,d0d0d2989b1f1f1b
